Metro Area,State,Divergence
Des Moines-West Des Moines,Iowa,0.1158
Davenport-Moline-Rock Island,Iowa,0.114
Cedar Rapids,Iowa,0.0717
Omaha-Council Bluffs,Iowa,0.193
Denver-Aurora-Broomfield,Colorado,0.1879
Greeley,Colorado,0.1108
Colorado Springs,Colorado,0.0791
Johnson City,Tennessee,0.0604
Fort Collins-Loveland,Colorado,0.0457
Las Vegas-Paradise,Nevada,0.1754
Reno-Sparks,Nevada,0.1322
Albuquerque,New Mexico,0.1744
Las Cruces,New Mexico,0.114
Minneapolis-St. Paul-Bloomington,Minnesota,0.1594
St. Cloud,Minnesota,0.0877
Fargo,Minnesota,0.0685
Duluth,Minnesota,0.0558
Salt Lake City,Utah,0.1253
Ogden-Clearfield,Utah,0.0789
Provo-Orem,Utah,0.0586
Salem,Oregon,0.1235
Portland-Vancouver-Hillsboro,Oregon,0.1051
Medford,Oregon,0.0615
Eugene-Springfield,Oregon,0.053
Anchorage,Alaska,0.1229
Seaford,Delaware,0.1176
Sioux Falls,South Dakota,0.0995
Boise City-Nampa,Idaho,0.0709
Daphne-Fairhope-Foley,Alabama,0.0897
Fargo,North Dakota,0.0685
Portland-South Portland-Biddeford,Maine,0.0527
Burlington-South Burlington,Vermont,0.0526
Boulder,Colorado,0.0808
